,url_id,index,lecture_name,professor_name,rate,semester,like,text,token
0,535020,0,법학입문,이재교,100,20,0,판례평석 잘하면 성적잘 주시는것 같음. 중간 개망치고 기말도 틀린 문제 몇 개 있었는데 판례평석 과제 평가는 전부 A+이었음. 성적도 결국 A+ 나옴.,판례 평석 잘 면 성적 잘 시 중간 개 망치 기말 도 틀린 문제 몇 개 는데 판례 평석 과제 평가 전부 성적 도 결국 나옴
1,535020,1,법학입문,이재교,80,20,0,과제들 되게 귀찮고 많다 시험은 말빨 좋으면 된다 난 시험은 망쳤지만 과제는 열심히해서 점수 잘 받았음,과제 되게 귀찮 많 다 시험 빨 좋 으면 된다 난 시험 망쳤 지만 과제 열심히 해서 점수 잘 받 았
2,535020,2,법학입문,이재교,80,20,0,수업은 ppt 띄워놓으시고 하시는데 보통 교안에 없는 다른 관련 사례를 중심으로 많이 얘기하심. 수업만 잘 들으면 시험도 잘 볼 수 있고 성적도 후하게 주시는 편. 다만 과제는 분량 채워쓰기가 쉽지만은 않음.,수업 띄워 놓 으시 시 는데 보통 교안 다른 관련 사례 중심 으로 많이 얘기 수업 만 잘 들으면 시험 도 잘 볼 성적 도 후하 게 시 편 다만 과제 분량 채워 쓰 기 쉽 지만은
3,535020,3,법학입문,이재교,100,20,0,"교재에 없는 내용 많이 얘기해주시고, 말씀하신 내용에서 시험문제 내셔서 교재 그렇게 크게 필요는 없습니다.과제가 좀 시간이 오래 걸리기는 한데, 판례평석은 민사소송법 강의에서도 내주셔서 어차피 내년에도 하셔야 되니 계속 해야되는거 연습한다 셈 치고 해보시길... 점수는 나름 잘 주시는 것 같아요! 방청도 저는 재밌었습니다.저는 상당히 만족했던 강의였습니다. 강의내용도 재밌었고 시험문제도 괜찮았구요! 학점은 원래 잘주시는 교수님이시니... 법학과 들어와서 다른 강의들 듣기 전에 수강하기엔 최적화된 과목인듯!!",교재 내용 많이 얘기 해 시 말씀 신 내용 에서 시험 문제 내 셔서 교재 그렇게 크 게 필요 과제 좀 시간 오래 걸리 기 한데 판례 평석 민사 소송법 강의 에서 도 내주 셔서 어차피 내년 도 셔야 니 계속 해야 거 연습 한다 셈 치 해 시 길 점수 나름 잘 시 방청 도 저 재밌 저 상당히 만족 했 던 강의 강의 내용 도 재밌 시험 문제 도 괜찮 았 구요 학점 원래 잘 시 교수 님 시 니 법학 과 들어와서 다른 강의 듣 기 전 수강 기 엔 최적 화 된 과목 인 듯
4,535020,4,법학입문,이재교,100,20,0,사이버강의라 괜찮았지만 과제는 꽤 많았어요 시험은 수업 잘 들으면 잘 나옴,사이버 강의 라 괜찮 았 지만 과제 꽤 많 았 어요 시험 수업 잘 들으면 잘 나옴
5,535020,5,법학입문,이재교,80,19,0,과제가 힘듦. 수업이 집중하면 재미는 있으나 매우 졸림.,과제 힘 듦 수업 집중 면 재미 으나 매우 졸림
6,535020,6,법학입문,이재교,100,19,0,교수님 진짜 좋으심 재밌게 수업하려고 노력하시고 이름도 외우시려고 노력하시는게 눈에 보임 다만 재미는 없음 4시 종이 칠 때쯤 되면 앞에 애들 다 졸고 있음평석이나 방청같은 과제 있음 글쓰기 양늘려서 잘 쓰는 사람에게는 문제 없고 성의만 있으면 에이쁠 주시는 것 같음수업 시간에 말한 사례위주로 공부하면 성적 나쁘지 않게 나옴,교수 님 진짜 좋 으 재밌 게 수업 려고 노력 시 이름 도 외우 시 려고 노력 시 게 눈 보임 다만 재미 시 종이 칠 쯤 면 앞 애 다 졸 평석 이나 방청 과제 글 쓰 기 양 늘려서 잘 쓰 에게 문제 성의 만 으면 이쁠 시 수업 시간 사례 위주 로 공부 면 성적 나쁘 게 나옴
7,535020,7,법학입문,이재교,80,19,0,교재는 정말 필요없음 당연히 시험문제에도 그닥 영향 안 줌교수님이 수업전에 따로 호명하시면서 눈 마주치심수업 내용은 좋은데 과제가 많이 빡셈 내용이 빡세다기보다는 분량을 채우기 힘든게 큼,교재 정말 필요 당연히 시험 문제 도 그닥 영향 안 줌 교수 님 수업 전 따로 호명 시 면서 눈 마주 치심 수업 내용 좋 은데 과제 많이 빡 셈 내용 빡세 다기 보다 분량 채우 기 힘든 게 큼
8,535020,8,법학입문,이재교,100,19,0,일단 법학부 수업 중 재밌습니다.그리고 열공한다면 성적 또한 뒷따름이 분명합니다,일단 법 학부 수업 중 재밌 그리고 열공 한다면 성적 또한 뒷 따름 분명 합니다
9,535020,9,법학입문,이재교,100,19,0,교재 꼼꼼히 안읽어도 교수님 강의 녹음해놨다가 시험기간 전에 한번 들어보기만 하면 시험은 어렵지 않게 풀 수 있음 문제 대부분은 직접 평결 내리는 형식임. 한 학기에 과제 네번이었는데 다 A4 4장이 최소 분량임 그런데 분량 안채워도 내용만 애 쓴 티 나면 점수 잘 주시고 피드백이 있어서 좋음,교재 꼼꼼히 안 읽 어도 교수 님 강의 녹음 해놨 다가 시험 기간 전 번 어 기 만 면 시험 어렵 게 풀 문제 대부분 직접 평결 내리 형식 임 학기 과제 네 번 는데 다 장 최소 분량 임 그런데 분량 안 채워도 내용 만 애 쓴 티 면 점수 잘 시 피드백 어서 좋
