,Unnamed: 0,like,semester,professor_name,rate,index,lecture_name,url_id,duplicated,duplicated_id,clean_txt,aspect,cnt,1,token
0,0,0,20,이재교,100,0,법학입문,535020,0,-1,판례평석 잘하면 성적잘 주시는것 같음,학점,1,1.0,판례 평석 잘 면 성적 잘 시
1,11377,1,20,오혜미,60,3,창업의이론과실제,2022697,0,-1,강의내용자체는 좋았어요 다만 원격강의로 진행되서 여러모로 불편한점이 많았습니다 출석체크 꽤나 철저하게 하셨어요 창업에관심있다면 들어볼만합니다 하지만 실무적인내용은 x,수업,1,1.0,강의 내용 자체 좋 았 어요 다만 원격 강의 로 진행 서 여러모로 불편 점 많 았 출석 체크 꽤 철저 게 셨 어요 창업 관심 다면 어 볼 만 합니다 하지만 실무 적 인 내용
2,11378,1,20,오혜미,20,4,창업의이론과실제,2022697,0,-1,강의 제목과 다르게 창업에 관한걸 배우는 것이 아니라 경영학 이론만 주구장창 암기시킴,수업,1,-1.0,강의 제목 과 다르 게 창업 관한 걸 배우 라 경영학 이론 만 주구장창 암기 시킴
3,11379,0,19,오혜미,100,5,창업의이론과실제,2022697,0,-1,교수님 매우 착하시고 이쁘심  사랑해요 짱짱,교수,1,1.0,교수 님 매우 착하 시 이쁘 사랑 해요 짱짱
4,11385,0,20,이유진,20,0,서양고전강독3,2100196,0,-1,1학점도 아까운 지옥의 강좌,학점,1,-1.0,학점 도 아까운 지옥 의 강좌
5,11392,6,20,이유진,100,3,서양고전강독3,2100196,0,-1,그동안 고강이 너무 날먹이라 다들 그걸 기대하고 수업들었는데 그만큼이 아니라서 실망한듯,수업,1,-1.0,그동안 고강 너무 날먹이 라 다 그걸 기대 수업 는데 그만큼 라서 실망 듯
6,11393,6,20,이유진,100,3,서양고전강독3,2100196,0,-1,"심화학습이야 책 읽고 써야하니 오래 걸릴 수도 있긴 한데 책 다 읽어야되는 것도 아니고 한주차 강의 부분만 읽으면 되는데,이게 왜 그렇게 불만인지 잘 모르겠음",수업,1,0.0,심화 학습 야 책 읽 써야 니 오래 걸릴 도 긴 한데 책 다 읽 어야 도 차 강의 부분 만 읽 으면 는데 이게 왜 그렇게 불만 인지 잘 모르 겠
7,11394,6,20,이유진,100,3,서양고전강독3,2100196,0,-1,하도 이메일로 찡찡댔는지 이것마저도 기말에선 안 봄,시험,1,0.0,하도 이메일 로 찡찡 댔 는지 이것 마저 도 기말 에선 안 봄
8,11396,6,20,이유진,100,3,서양고전강독3,2100196,0,-1,이메일이나 공지에서 보이는 교수님 태도는 좀 심하긴 하셨음,교수,1,-1.0,이메일 이나 공지 에서 보이 교수 님 태도 좀 심하 긴 셨
9,11397,6,20,이유진,100,3,서양고전강독3,2100196,0,-1,난 아무것도 한 게 없고 과제도 잘했는데 왜 혼나는 기분이 드는지,교수,1,-1.0,난 아무것 도 게 과제 도 잘 했 는데 왜 혼나 기분 드 는지
10,5267,0,18,한희섭,40,4,호텔경영론,1788334,0,-1,호불호가 갈리는 수업인데 개인적으로 배울 건 정말 없는 수업이라 생각한다,수업,1,-1.0,호불호 갈리 수업 인데 개인 적 으로 배울 건 정말 수업 라 생각 한다
11,11402,0,20,이유진,20,6,서양고전강독3,2100196,0,-1,걍 제발 듣지말고 도망가 다른 과목이였어도 이교수님은 안 듣는다,교수,1,-1.0,걍 제발 듣 도망가 다른 과목 어도 이교수 님 안 듣 는다
12,11403,2,20,이유진,20,7,서양고전강독3,2100196,0,-1,아래 글에서 수업의 질이 좋았다 어쩌구 하는데 애초에 이 수업듣고 고전독서를 막 탐구하고 싶어서 듣는게 아니잖아,수업,1,-1.0,아래 글 에서 수업 의 질 좋 았 다 어쩌구 는데 애초 수업 듣 고전 독서 막 탐구 싶 어서 듣 게 잖아
13,5265,0,18,한희섭,60,2,호텔경영론,1788334,0,-1,수업에 조금만 더 신경써주시면 내용적인 측면에서 더 배울게 많다고 생각하는데 많이 아쉽,수업,1,-1.0,수업 조금 만 더 신경 써 시 면 내용 적 인 측면 에서 더 배울 게 많 다고 생각 는데 많이 아쉽
