,url_id,sentence,aspect
0,535020,['판례평석 잘하면 성적잘 주시는것 같음.'],gpa
1,535020,['중간 개망치고 기말도 틀린 문제 몇 개 있었는데 판례평석 과제 평가는 전부 A+이었음.'],task
2,535020,['중간 개망치고 기말도 틀린 문제 몇 개 있었는데 판례평석 과제 평가는 전부 A+이었음.'],test
3,535020,['성적도 결국 A+ 나옴.'],gpa
4,535020,['과제들 되게 귀찮고 많다 시험은 말빨 좋으면 된다 난 시험은 망쳤지만 과제는 열심히해서 점수 잘 받았음'],task
5,535020,['과제들 되게 귀찮고 많다 시험은 말빨 좋으면 된다 난 시험은 망쳤지만 과제는 열심히해서 점수 잘 받았음'],test
6,535020,"['수업은 ppt 띄워놓으시고 하시는데 보통 교안에 없는 다른 관련 사례를 중심으로 많이 얘기하심', '수업만 잘 들으면 시험도 잘 볼 수 있고 성적도 후하게 주시는 편', '다만 과제는 분량 채워쓰기가 쉽지만은 않음.']",task
7,535020,"['수업은 ppt 띄워놓으시고 하시는데 보통 교안에 없는 다른 관련 사례를 중심으로 많이 얘기하심', '수업만 잘 들으면 시험도 잘 볼 수 있고 성적도 후하게 주시는 편', '다만 과제는 분량 채워쓰기가 쉽지만은 않음.']",test
8,535020,"['수업은 ppt 띄워놓으시고 하시는데 보통 교안에 없는 다른 관련 사례를 중심으로 많이 얘기하심', '수업만 잘 들으면 시험도 잘 볼 수 있고 성적도 후하게 주시는 편', '다만 과제는 분량 채워쓰기가 쉽지만은 않음.']",gpa
9,535020,"['수업은 ppt 띄워놓으시고 하시는데 보통 교안에 없는 다른 관련 사례를 중심으로 많이 얘기하심', '수업만 잘 들으면 시험도 잘 볼 수 있고 성적도 후하게 주시는 편', '다만 과제는 분량 채워쓰기가 쉽지만은 않음.']",teaching
10,535020,"['교재에 없는 내용 많이 얘기해주시고, 말씀하신 내용에서 시험문제 내셔서 교재 그렇게 크게 필요는 없습니다.']",test
11,535020,"['과제가 좀 시간이 오래 걸리기는 한데, 판례평석은 민사소송법 강의에서도 내주셔서 어차피 내년에도 하셔야 되니 계속 해야되는거 연습한다 셈 치고 해보시길..', '점수는 나름 잘 주시는 것 같아요!']",task
12,535020,"['과제가 좀 시간이 오래 걸리기는 한데, 판례평석은 민사소송법 강의에서도 내주셔서 어차피 내년에도 하셔야 되니 계속 해야되는거 연습한다 셈 치고 해보시길..', '점수는 나름 잘 주시는 것 같아요!']",teaching
13,535020,['저는 상당히 만족했던 강의였습니다.'],teaching
14,535020,['강의내용도 재밌었고 시험문제도 괜찮았구요!'],test
15,535020,['강의내용도 재밌었고 시험문제도 괜찮았구요!'],teaching
16,535020,['학점은 원래 잘주시는 교수님이시니...'],professor
17,535020,['학점은 원래 잘주시는 교수님이시니...'],gpa
18,535020,['법학과 들어와서 다른 강의들 듣기 전에 수강하기엔 최적화된 과목인듯!!'],teaching
19,535020,['사이버강의라 괜찮았지만 과제는 꽤 많았어요'],task
20,535020,['사이버강의라 괜찮았지만 과제는 꽤 많았어요'],teaching
21,535020,['시험은 수업 잘 들으면 잘 나옴'],test
22,535020,['시험은 수업 잘 들으면 잘 나옴'],teaching
23,535020,"['과제가 힘듦', '수업이 집중하면 재미는 있으나 매우 졸림.']",task
24,535020,"['과제가 힘듦', '수업이 집중하면 재미는 있으나 매우 졸림.']",teaching
25,535020,['교수님 진짜 좋으심 재밌게 수업하려고 노력하시고 이름도 외우시려고 노력하시는게 눈에 보임 다만 재미는 없음'],professor
26,535020,['교수님 진짜 좋으심 재밌게 수업하려고 노력하시고 이름도 외우시려고 노력하시는게 눈에 보임 다만 재미는 없음'],teaching
27,535020,['4시 종이 칠 때쯤 되면 앞에 애들 다 졸고 있음평석이나 방청같은 과제 있음'],task
28,535020,['글쓰기 양늘려서 잘 쓰는 사람에게는 문제 없고 성의만 있으면 에이쁠 주시는 것 같음수업 시간에 말한 사례위주로 공부하면 성적 나쁘지 않게 나옴'],gpa
