url_id,index,lecture_name,professor_name,rate,semester,like,text
536175,0,운영체제,송재승,40.0,19,0,남는거 없음 그냥 편하게 수업듣고 대충 넘기고 싶다면 추천불시에 퀴즈본다고 하는데 이 교수님 수업들으면서 정말 불시에 본적은 없었음 과제 별로 없음
536175,1,운영체제,송재승,60.0,19,0,"수업은 기본적으로 강의자료에 설명만 덧붙이는 형태로,학생들이 알아서 다른 참고서적도 찾아서 읽어봐야 한다.(이 부분은 교수님께서도 공지를 하셨으니 참고할 것.) (Tip)1. 수업 중에 불시에 퀴즈를 낼 수도 있으니 참고할 것.2. 수업시간에 해결해야 하는 숙제가 나갈 수도 있으니 유념할 것!"
536175,2,운영체제,송재승,60.0,17,1,이 교수님이 학점은 잘 주는 편입니다. 다만 수업은 정말 약간의 설명이 추가된 책 읽기 느낌.. 시험 전에 중요한거 짚어주니까 그거만 제대로 공부해도 어느정도는 점수 잘 받습니다
536175,3,운영체제,송재승,40.0,17,2,수업은 그냥 책 읽어준다 생각하심 됩니다. 부연설명 없어서 사실상 강의가 필요 없고 독학해서 시험 보는 느낌.
1788286,0,웹해킹과보안,윤주범,20.0,20,5,일단 교수가 자세히 가르쳐주지 않음. 이상한거에 집착하는 경향이 있음. 예를 들어 OWASP TOP 10을 달달 외우라고 시켰음. 대면 시험이였으면 여기서 나온다고 했었음.  기말 대체 과제에 경우 교수가 제대로 확인도 안하고 출제했음이 본인 판단으로 확신함. 대체 과제 점수평가에 평가 기준 중 오타가 있는 걸 보고 매우 놀람. 학점 잘받고 싶으면 과제 분량만 많이 때우면 됨.  본인 피셜로 교수도 웹해킹 잘 모름
1788286,1,웹해킹과보안,윤주범,20.0,20,6,평가 기준이 형평성이 없음 구데기 수업.................
1788286,2,웹해킹과보안,윤주범,100.0,20,0,"코로나로 사이버 강의로 진행되어 중간고사는 치르지 않았고, 기말고사 대체 과제가 주어졌습니다.교수님의 평가 기준이 조금 깐깐했으나 미리 말해주셔서 그 기준만 맞추면 점수는 깎지 않으시는 편인 것 같습니다.과제도 비슷하게 감점될 요인만 없으면 점수를 후하게 주시는 편이였습니다."
1788286,3,웹해킹과보안,윤주범,100.0,20,0,이번 코로나 때문에 시험을 치지 않아서 그런지 몰라도 실습만 해서 재밌었고 성적 잘 주셨습니다.
1788286,4,웹해킹과보안,윤주범,80.0,19,0,수업자체는 정보보호 보안의 개론 책내용을 그대로 하셔서 그렇게 재밌지 않지만 실습은 나름 재밌었어요
1788286,5,웹해킹과보안,윤주범,60.0,19,0,그냥 책내용이랑 똑같이 수업함 노잼.. 좀... 그럼
1788286,6,웹해킹과보안,윤주범,100.0,19,0,"책을 사는것을 추천드리고 시험은 책,과제,교안에서 좀 세세한 부분까지도 나오니까 거의 다 외우다싶이 보셔야합니다.과제는 수업시간에 교수님이 앞에서 실습하시는거 기억해뒀다가 따라하면서 캡처하고 보고서 쓰는건데 내용좀 풍부하게 쓰셔야 만점줍니다."
2100123,0,디지털포렌식,박기웅,80.0,20,2,강의력도 좋으시고 강의 내용도 재밌는 편. 대신 과제나 시험 채점은 상대적으로 빡빡한 편이었다.
2100123,1,디지털포렌식,박기웅,100.0,20,2,그저 빛.. 강의도 재밌고 과제도 재밌어요 학점도 잘주셔요!
2100123,2,디지털포렌식,박기웅,100.0,20,1,갓기웅 그자체.. 온라인 수업 듣는게 아쉬움... 코로나 때매 수업시간도 짧고..
2183616,0,신입생세미나,김성한,100.0,20,0,그냥 블보 강의 출석 제때하고 마지막 실강들으면 패쓰받는 과목이었어요 과제없이 편하게 들었습니다 각 강의마다 학교정보 말씀해주시는 교수님들도 좋았어요
1628667,0,C프로그래밍및실습,임유승,100.0,20,0,온라인 강의 때문에 좀 아쉬웠지만 실습시간때 교수님의 열정을 볼 수 있어서 좋았어요.^^
